YEAR,name,lat,lng,country,admin1,admin2
2021,Manchester,53.48095,-2.23743,GB,ENG,I2
2021,Paris,48.85341,2.3488,FR,11,75
2021,Paris,48.85341,2.3488,FR,11,75
2021,Manchester,53.48095,-2.23743,GB,ENG,I2
2021,Manchester,53.48095,-2.23743,GB,ENG,I2
2021,Leipzig,51.33962,12.37129,DE,13,00
2021,Paris,48.85341,2.3488,FR,11,75
2021,Liverpool,53.41058,-2.97794,GB,ENG,H8
2021,Porto,42.16737,-6.89934,ES,55,ZA
2021,Porto,41.14961,-8.61099,PT,17,1312
2021,Liverpool,53.41058,-2.97794,GB,ENG,H8
2021,Liverpool,53.41058,-2.97794,GB,ENG,H8
2021,Amsterdam,52.37403,4.88969,NL,07,0363
2021,Dortmund,51.51494,7.466,DE,07,059
2021,Amsterdam,52.37403,4.88969,NL,07,0363
2021,Lisbon,38.71667,-9.13333,PT,14,1106
2021,Lisbon,38.71667,-9.13333,PT,14,1106
2021,Amsterdam,52.37403,4.88969,NL,07,0363
2021,Dortmund,51.51494,7.466,DE,07,059
2021,Madrid,40.4165,-3.70256,ES,29,M
2021,Madrid,40.4165,-3.70256,ES,29,M
2021,Lisbon,38.71667,-9.13333,PT,14,1106
2021,Munich,48.13743,11.57549,DE,02,091
2021,Barcelona,41.38879,2.15899,ES,56,B
2021,Munich,48.13743,11.57549,DE,02,091
2021,Munich,48.13743,11.57549,DE,02,091
2021,Lisbon,38.71667,-9.13333,PT,14,1106
2021,Bern,46.94809,7.44744,CH,BE,246
2021,Manchester,53.48095,-2.23743,GB,ENG,I2
2021,Manchester,53.48095,-2.23743,GB,ENG,I2
2021,Leipzig,51.33962,12.37129,DE,13,00
2021,Leipzig,51.33962,12.37129,DE,13,00
2021,Wolfsburg,52.42452,10.7815,DE,06,00
2021,Sevilla,37.38283,-5.97317,ES,51,SE
2021,Leipzig,51.33962,12.37129,DE,13,00
2021,London,51.50853,-0.12574,GB,ENG,GLA
2021,London,51.50853,-0.12574,GB,ENG,GLA
2021,London,51.50853,-0.12574,GB,ENG,GLA
2022,Paris,48.85341,2.3488,FR,11,75
2022,London,51.50853,-0.12574,GB,ENG,GLA
2022,Munich,48.13743,11.57549,DE,02,091
2022,Madrid,40.4165,-3.70256,ES,29,M
2022,Manchester,53.48095,-2.23743,GB,ENG,I2
2022,Manchester,53.48095,-2.23743,GB,ENG,I2
2022,Liverpool,53.41058,-2.97794,GB,ENG,H8
2022,Madrid,40.4165,-3.70256,ES,29,M
2020,Munich,48.13743,11.57549,DE,02,091
2020,Madrid,40.4165,-3.70256,ES,29,M
2020,Munich,48.13743,11.57549,DE,02,091
2020,Munich,48.13743,11.57549,DE,02,091
2020,Madrid,40.4165,-3.70256,ES,29,M
2020,Mönchengladbach,51.18539,6.44172,DE,07,051
2020,Kyiv,50.45466,30.5238,UA,12,
2020,Madrid,40.4165,-3.70256,ES,29,M
2020,Manchester,53.48095,-2.23743,GB,ENG,I2
2020,Porto,42.16737,-6.89934,ES,55,ZA
2020,Porto,41.14961,-8.61099,PT,17,1312
2020,Porto,42.16737,-6.89934,ES,55,ZA
2020,Porto,41.14961,-8.61099,PT,17,1312
2020,Manchester,53.48095,-2.23743,GB,ENG,I2
2020,Marseille,43.29695,5.38107,FR,93,13
2020,Manchester,53.48095,-2.23743,GB,ENG,I2
2020,Liverpool,53.41058,-2.97794,GB,ENG,H8
2020,Amsterdam,52.37403,4.88969,NL,07,0363
2020,Liverpool,53.41058,-2.97794,GB,ENG,H8
2020,Sevilla,37.38283,-5.97317,ES,51,SE
2020,London,51.50853,-0.12574,GB,ENG,GLA
2020,Sevilla,37.38283,-5.97317,ES,51,SE
2020,Dortmund,51.51494,7.466,DE,07,059
2020,Dortmund,51.51494,7.466,DE,07,059
2020,Brugge,51.20892,3.22424,BE,VLG,VWV
2020,Barcelona,41.38879,2.15899,ES,56,B
2020,Barcelona,41.38879,2.15899,ES,56,B
2020,Kyiv,50.45466,30.5238,UA,12,
2020,Leipzig,51.33962,12.37129,DE,13,00
2020,Manchester,53.48095,-2.23743,GB,ENG,I2
2020,Leipzig,51.33962,12.37129,DE,13,00
2020,Manchester,53.48095,-2.23743,GB,ENG,I2
2020,Paris,48.85341,2.3488,FR,11,75
2020,Leipzig,51.33962,12.37129,DE,13,00
2020,Paris,48.85341,2.3488,FR,11,75
2021,Porto,42.16737,-6.89934,ES,55,ZA
2021,Porto,41.14961,-8.61099,PT,17,1312
2021,Madrid,40.4165,-3.70256,ES,29,M
2021,Munich,48.13743,11.57549,DE,02,091
2021,London,51.50853,-0.12574,GB,ENG,GLA
2021,Manchester,53.48095,-2.23743,GB,ENG,I2
2021,Madrid,40.4165,-3.70256,ES,29,M
2021,Manchester,53.48095,-2.23743,GB,ENG,I2
2021,London,51.50853,-0.12574,GB,ENG,GLA
2019,Paris,48.85341,2.3488,FR,11,75
2019,Paris,48.85341,2.3488,FR,11,75
2019,Madrid,40.4165,-3.70256,ES,29,M
2019,Paris,48.85341,2.3488,FR,11,75
2019,Munich,48.13743,11.57549,DE,02,091
2019,London,51.50853,-0.12574,GB,ENG,GLA
2019,Munich,48.13743,11.57549,DE,02,091
2019,London,51.50853,-0.12574,GB,ENG,GLA
2019,Munich,48.13743,11.57549,DE,02,091
2019,Zagreb,45.81444,15.97798,HR,21,
2019,Manchester,53.48095,-2.23743,GB,ENG,I2
2019,Manchester,53.48095,-2.23743,GB,ENG,I2
2019,Madrid,40.4165,-3.70256,ES,29,M
2019,Leverkusen,51.0303,6.98432,DE,07,053
2019,Madrid,40.4165,-3.70256,ES,29,M
2019,Leipzig,51.33962,12.37129,DE,13,00
2019,Liverpool,53.41058,-2.97794,GB,ENG,H8
2019,Liverpool,53.41058,-2.97794,GB,ENG,H8
2019,Barcelona,41.38879,2.15899,ES,56,B
2019,Dortmund,51.51494,7.466,DE,07,059
2019,Barcelona,41.38879,2.15899,ES,56,B
2019,Dortmund,51.51494,7.466,DE,07,059
2019,Leipzig,51.33962,12.37129,DE,13,00
2019,Lisbon,38.71667,-9.13333,PT,14,1106
2019,Décines-Charpieu,45.76873,4.95883,FR,84,69
2019,Lisbon,38.71667,-9.13333,PT,14,1106
2019,Amsterdam,52.37403,4.88969,NL,07,0363
2019,Valencia,39.47391,-0.37966,ES,60,V
2019,London,51.50853,-0.12574,GB,ENG,GLA
2020,Dortmund,51.51494,7.466,DE,07,059
2020,Madrid,40.4165,-3.70256,ES,29,M
2020,Décines-Charpieu,45.76873,4.95883,FR,84,69
2020,Leipzig,51.33962,12.37129,DE,13,00
2020,Paris,48.85341,2.3488,FR,11,75
2020,Manchester,53.48095,-2.23743,GB,ENG,I2
2020,Munich,48.13743,11.57549,DE,02,091
2020,Barcelona,41.38879,2.15899,ES,56,B
2020,Lisbon,38.71667,-9.13333,PT,14,1106
2018,Dortmund,51.51494,7.466,DE,07,059
2018,Madrid,40.4165,-3.70256,ES,29,M
2018,Dortmund,51.51494,7.466,DE,07,059
2018,Madrid,40.4165,-3.70256,ES,29,M
2018,Madrid,40.4165,-3.70256,ES,29,M
2018,Barcelona,41.38879,2.15899,ES,56,B
2018,Barcelona,41.38879,2.15899,ES,56,B
2018,London,51.50853,-0.12574,GB,ENG,GLA
2018,London,51.50853,-0.12574,GB,ENG,GLA
2018,Liverpool,53.41058,-2.97794,GB,ENG,H8
2018,Paris,48.85341,2.3488,FR,11,75
2018,Liverpool,53.41058,-2.97794,GB,ENG,H8
2018,Paris,48.85341,2.3488,FR,11,75
2018,Liverpool,53.41058,-2.97794,GB,ENG,H8
2018,Porto,42.16737,-6.89934,ES,55,ZA
2018,Porto,41.14961,-8.61099,PT,17,1312
2018,Porto,42.16737,-6.89934,ES,55,ZA
2018,Porto,41.14961,-8.61099,PT,17,1312
2018,Gelsenkirchen,51.50508,7.09654,DE,07,055
2018,Porto,42.16737,-6.89934,ES,55,ZA
2018,Porto,41.14961,-8.61099,PT,17,1312
2018,Gelsenkirchen,51.50508,7.09654,DE,07,055
2018,Amsterdam,52.37403,4.88969,NL,07,0363
2018,Amsterdam,52.37403,4.88969,NL,07,0363
2018,Munich,48.13743,11.57549,DE,02,091
2018,Munich,48.13743,11.57549,DE,02,091
2018,Lisbon,38.71667,-9.13333,PT,14,1106
2018,Manchester,53.48095,-2.23743,GB,ENG,I2
2018,Manchester,53.48095,-2.23743,GB,ENG,I2
2018,Madrid,40.4165,-3.70256,ES,29,M
2018,Madrid,40.4165,-3.70256,ES,29,M
2018,Valencia,39.47391,-0.37966,ES,60,V
2018,Manchester,53.48095,-2.23743,GB,ENG,I2
2018,Valencia,39.47391,-0.37966,ES,60,V
2018,Bern,46.94809,7.44744,CH,BE,246
2019,London,51.50853,-0.12574,GB,ENG,GLA
2019,Madrid,40.4165,-3.70256,ES,29,M
2019,Porto,42.16737,-6.89934,ES,55,ZA
2019,Porto,41.14961,-8.61099,PT,17,1312
2019,Manchester,53.48095,-2.23743,GB,ENG,I2
2019,Barcelona,41.38879,2.15899,ES,56,B
2019,Liverpool,53.41058,-2.97794,GB,ENG,H8
2019,London,51.50853,-0.12574,GB,ENG,GLA
2019,Barcelona,41.38879,2.15899,ES,56,B
2019,Manchester,53.48095,-2.23743,GB,ENG,I2
2019,Barcelona,41.38879,2.15899,ES,56,B
2019,Liverpool,53.41058,-2.97794,GB,ENG,H8
2017,Manchester,53.48095,-2.23743,GB,ENG,I2
2017,Basel,47.55839,7.57327,CH,BS,1200
2017,Manchester,53.48095,-2.23743,GB,ENG,I2
2017,Basel,47.55839,7.57327,CH,BS,1200
2017,Manchester,53.48095,-2.23743,GB,ENG,I2
2017,Munich,48.13743,11.57549,DE,02,091
2017,Paris,48.85341,2.3488,FR,11,75
2017,Munich,48.13743,11.57549,DE,02,091
2017,Paris,48.85341,2.3488,FR,11,75
2017,Paris,48.85341,2.3488,FR,11,75
2017,Munich,48.13743,11.57549,DE,02,091
2017,London,51.50853,-0.12574,GB,ENG,GLA
2017,Madrid,40.4165,-3.70256,ES,29,M
2017,Barcelona,41.38879,2.15899,ES,56,B
2017,Barcelona,41.38879,2.15899,ES,56,B
2017,Lisbon,38.71667,-9.13333,PT,14,1106
2017,Barcelona,41.38879,2.15899,ES,56,B
2017,Sevilla,37.38283,-5.97317,ES,51,SE
2017,Sevilla,37.38283,-5.97317,ES,51,SE
2017,Liverpool,53.41058,-2.97794,GB,ENG,H8
2017,Liverpool,53.41058,-2.97794,GB,ENG,H8
2017,Kharkiv,49.98081,36.25272,UA,07,6312
2017,Manchester,53.48095,-2.23743,GB,ENG,I2
2017,Manchester,53.48095,-2.23743,GB,ENG,I2
2017,Kharkiv,49.98081,36.25272,UA,07,6312
2017,Manchester,53.48095,-2.23743,GB,ENG,I2
2017,Kharkiv,49.98081,36.25272,UA,07,6312
2017,Rotterdam,51.9225,4.47917,NL,11,0599
2017,Leipzig,51.33962,12.37129,DE,13,00
2017,Porto,42.16737,-6.89934,ES,55,ZA
2017,Porto,41.14961,-8.61099,PT,17,1312
2017,Porto,42.16737,-6.89934,ES,55,ZA
2017,Porto,41.14961,-8.61099,PT,17,1312
2017,London,51.50853,-0.12574,GB,ENG,GLA
2017,Madrid,40.4165,-3.70256,ES,29,M
2017,London,51.50853,-0.12574,GB,ENG,GLA
2017,Madrid,40.4165,-3.70256,ES,29,M
2017,London,51.50853,-0.12574,GB,ENG,GLA
2018,Madrid,40.4165,-3.70256,ES,29,M
2018,Munich,48.13743,11.57549,DE,02,091
2018,Kharkiv,49.98081,36.25272,UA,07,6312
2018,Barcelona,41.38879,2.15899,ES,56,B
2018,Barcelona,41.38879,2.15899,ES,56,B
2018,Liverpool,53.41058,-2.97794,GB,ENG,H8
2018,Liverpool,53.41058,-2.97794,GB,ENG,H8
2018,Kyiv,50.45466,30.5238,UA,12,
2016,London,51.50853,-0.12574,GB,ENG,GLA
2016,London,51.50853,-0.12574,GB,ENG,GLA
2016,Paris,48.85341,2.3488,FR,11,75
2016,Lisbon,38.71667,-9.13333,PT,14,1106
2016,Kyiv,50.45466,30.5238,UA,12,
2016,Barcelona,41.38879,2.15899,ES,56,B
2016,Manchester,53.48095,-2.23743,GB,ENG,I2
2016,Barcelona,41.38879,2.15899,ES,56,B
2016,Manchester,53.48095,-2.23743,GB,ENG,I2
2016,Barcelona,41.38879,2.15899,ES,56,B
2016,Munich,48.13743,11.57549,DE,02,091
2016,Madrid,40.4165,-3.70256,ES,29,M
2016,Munich,48.13743,11.57549,DE,02,091
2016,Madrid,40.4165,-3.70256,ES,29,M
2016,Madrid,40.4165,-3.70256,ES,29,M
2016,Munich,48.13743,11.57549,DE,02,091
2016,Monaco,43.73718,7.42145,MC,00,
2016,Monaco,43.73718,7.42145,MC,00,
2016,Leverkusen,51.0303,6.98432,DE,07,053
2016,London,51.50853,-0.12574,GB,ENG,GLA
2016,Madrid,40.4165,-3.70256,ES,29,M
2016,Lisbon,38.71667,-9.13333,PT,14,1106
2016,Madrid,40.4165,-3.70256,ES,29,M
2016,Dortmund,51.51494,7.466,DE,07,059
2016,Dortmund,51.51494,7.466,DE,07,059
2016,Leicester,52.6386,-1.13169,GB,ENG,H4
2016,Leicester,52.6386,-1.13169,GB,ENG,H4
2016,Porto,42.16737,-6.89934,ES,55,ZA
2016,Porto,41.14961,-8.61099,PT,17,1312
2016,Leicester,52.6386,-1.13169,GB,ENG,H4
2016,Porto,42.16737,-6.89934,ES,55,ZA
2016,Porto,41.14961,-8.61099,PT,17,1312
2016,Décines-Charpieu,45.76873,4.95883,FR,84,69
2016,Sevilla,37.38283,-5.97317,ES,51,SE
2016,Sevilla,37.38283,-5.97317,ES,51,SE
2017,Lisbon,38.71667,-9.13333,PT,14,1106
2017,Paris,48.85341,2.3488,FR,11,75
2017,Madrid,40.4165,-3.70256,ES,29,M
2017,Munich,48.13743,11.57549,DE,02,091
2017,Manchester,53.48095,-2.23743,GB,ENG,I2
2017,Sevilla,37.38283,-5.97317,ES,51,SE
2017,Dortmund,51.51494,7.466,DE,07,059
2017,Barcelona,41.38879,2.15899,ES,56,B
2017,Leicester,52.6386,-1.13169,GB,ENG,H4
2017,Monaco,43.73718,7.42145,MC,00,
2017,Madrid,40.4165,-3.70256,ES,29,M
2017,Madrid,40.4165,-3.70256,ES,29,M
2017,Monaco,43.73718,7.42145,MC,00,
2017,Madrid,40.4165,-3.70256,ES,29,M
2017,Madrid,40.4165,-3.70256,ES,29,M
