,Relative_Date,Stock markets,Values
133,50,Values_ARG,3.98%
517,50,Values_FR,-1.31%
901,50,Values_DE,-1.31%
1285,50,Values_ES,-1.31%
1669,50,Values_IT,-1.31%
2053,50,Values_BRA,-1.31%
134,51,Values_ARG,-1.31%
518,51,Values_FR,-1.54%
902,51,Values_DE,-1.54%
1286,51,Values_ES,-1.54%
1670,51,Values_IT,-1.54%
2054,51,Values_BRA,-1.54%
135,52,Values_ARG,1.77%
519,52,Values_FR,-0.31%
903,52,Values_DE,0.09%
1287,52,Values_ES,-0.12%
1671,52,Values_IT,0.24%
2055,52,Values_BRA,-1.30%
136,53,Values_ARG,1.31%
520,53,Values_FR,0.16%
904,53,Values_DE,0.30%
1288,53,Values_ES,0.50%
1672,53,Values_IT,-0.02%
2056,53,Values_BRA,-1.97%
137,54,Values_ARG,1.35%
521,54,Values_FR,1.35%
905,54,Values_DE,1.26%
1289,54,Values_ES,3.51%
1673,54,Values_IT,0.51%
2057,54,Values_BRA,1.93%
138,55,Values_ARG,-0.75%
522,55,Values_FR,-0.75%
906,55,Values_DE,1.02%
1290,55,Values_ES,-0.07%
1674,55,Values_IT,-0.14%
2058,55,Values_BRA,2.88%
139,56,Values_ARG,0.67%
523,56,Values_FR,0.33%
907,56,Values_DE,0.23%
1291,56,Values_ES,0.59%
1675,56,Values_IT,0.58%
2059,56,Values_BRA,-1.12%
140,57,Values_ARG,-1.12%
524,57,Values_FR,0.27%
908,57,Values_DE,0.27%
1292,57,Values_ES,0.27%
1676,57,Values_IT,0.27%
2060,57,Values_BRA,0.27%
141,58,Values_ARG,0.27%
525,58,Values_FR,0.91%
909,58,Values_DE,0.91%
1293,58,Values_ES,0.91%
1677,58,Values_IT,0.91%
2061,58,Values_BRA,0.91%
142,59,Values_ARG,3.09%
526,59,Values_FR,-0.08%
910,59,Values_DE,0.11%
1294,59,Values_ES,0.22%
1678,59,Values_IT,0.15%
2062,59,Values_BRA,5.10%
144,60,Values_ARG,0.33%
528,60,Values_FR,0.46%
912,60,Values_DE,-0.49%
1296,60,Values_ES,-1.35%
1680,60,Values_IT,-0.22%
2064,60,Values_BRA,2.50%
145,61,Values_ARG,-1.35%
529,61,Values_FR,-1.35%
913,61,Values_DE,-0.11%
1297,61,Values_ES,1.02%
1681,61,Values_IT,-0.80%
2065,61,Values_BRA,0.08%
146,62,Values_ARG,0.89%
530,62,Values_FR,0.89%
914,62,Values_DE,-0.09%
1298,62,Values_ES,1.20%
1682,62,Values_IT,-0.55%
2066,62,Values_BRA,1.25%
147,63,Values_ARG,-3.21%
531,63,Values_FR,-0.07%
915,63,Values_DE,-0.41%
1299,63,Values_ES,-0.22%
1683,63,Values_IT,0.51%
2067,63,Values_BRA,-0.96%
148,64,Values_ARG,-0.96%
532,64,Values_FR,0.28%
916,64,Values_DE,0.28%
1300,64,Values_ES,0.28%
1684,64,Values_IT,0.28%
2068,64,Values_BRA,0.28%
149,65,Values_ARG,0.28%
533,65,Values_FR,0.56%
917,65,Values_DE,0.56%
1301,65,Values_ES,0.56%
1685,65,Values_IT,0.56%
2069,65,Values_BRA,0.56%
150,66,Values_ARG,0.56%
534,66,Values_FR,1.07%
918,66,Values_DE,0.09%
1302,66,Values_ES,0.71%
1686,66,Values_IT,-0.35%
2070,66,Values_BRA,-1.26%
151,67,Values_ARG,-1.26%
535,67,Values_FR,0.78%
919,67,Values_DE,-0.28%
1303,67,Values_ES,0.38%
1687,67,Values_IT,0.63%
2071,67,Values_BRA,-1.94%
152,68,Values_ARG,-1.71%
536,68,Values_FR,-1.71%
920,68,Values_DE,0.30%
1304,68,Values_ES,-0.51%
1688,68,Values_IT,0.16%
2072,68,Values_BRA,-1.41%
153,69,Values_ARG,1.34%
537,69,Values_FR,1.34%
921,69,Values_DE,1.41%
1305,69,Values_ES,-0.33%
1689,69,Values_IT,-0.14%
2073,69,Values_BRA,-3.17%
155,70,Values_ARG,0.13%
539,70,Values_FR,-0.33%
923,70,Values_DE,0.01%
1307,70,Values_ES,-1.20%
1691,70,Values_IT,-0.10%
2075,70,Values_BRA,-0.41%
156,71,Values_ARG,-0.41%
540,71,Values_FR,0.05%
924,71,Values_DE,0.05%
1308,71,Values_ES,0.05%
1692,71,Values_IT,0.05%
2076,71,Values_BRA,0.05%
157,72,Values_ARG,0.05%
541,72,Values_FR,0.61%
925,72,Values_DE,0.61%
1309,72,Values_ES,0.61%
1693,72,Values_IT,0.61%
2077,72,Values_BRA,0.61%
158,73,Values_ARG,0.86%
542,73,Values_FR,0.50%
926,73,Values_DE,-0.51%
1310,73,Values_ES,1.46%
1694,73,Values_IT,0.09%
2078,73,Values_BRA,2.45%
159,74,Values_ARG,-1.20%
543,74,Values_FR,-0.85%
927,74,Values_DE,-1.58%
1311,74,Values_ES,0.18%
1695,74,Values_IT,-0.65%
2079,74,Values_BRA,0.53%
160,75,Values_ARG,0.86%
544,75,Values_FR,0.86%
928,75,Values_DE,0.70%
1312,75,Values_ES,-1.93%
1696,75,Values_IT,1.09%
2080,75,Values_BRA,1.58%
161,76,Values_ARG,-2.74%
545,76,Values_FR,-2.74%
929,76,Values_DE,-1.57%
1313,76,Values_ES,-0.51%
1697,76,Values_IT,0.41%
2081,76,Values_BRA,0.22%
162,77,Values_ARG,1.28%
546,77,Values_FR,0.24%
930,77,Values_DE,-0.20%
1314,77,Values_ES,2.15%
1698,77,Values_IT,-1.01%
2082,77,Values_BRA,0.19%
163,78,Values_ARG,0.19%
547,78,Values_FR,-0.71%
931,78,Values_DE,-0.71%
1315,78,Values_ES,-0.71%
1699,78,Values_IT,-0.71%
2083,78,Values_BRA,-0.71%
164,79,Values_ARG,-0.71%
548,79,Values_FR,0.43%
932,79,Values_DE,0.43%
1316,79,Values_ES,0.43%
1700,79,Values_IT,0.43%
2084,79,Values_BRA,0.43%
166,80,Values_ARG,2.91%
550,80,Values_FR,-1.47%
934,80,Values_DE,-0.71%
1318,80,Values_ES,-1.07%
1702,80,Values_IT,0.07%
2086,80,Values_BRA,-4.03%
167,81,Values_ARG,-2.58%
551,81,Values_FR,-0.95%
935,81,Values_DE,0.55%
1319,81,Values_ES,-0.21%
1703,81,Values_IT,0.89%
2087,81,Values_BRA,-2.16%
168,82,Values_ARG,1.79%
552,82,Values_FR,1.79%
936,82,Values_DE,-0.97%
1320,82,Values_ES,-0.98%
1704,82,Values_IT,0.30%
2088,82,Values_BRA,-1.10%
169,83,Values_ARG,-1.34%
553,83,Values_FR,-1.34%
937,83,Values_DE,-1.99%
1321,83,Values_ES,0.26%
1705,83,Values_IT,0.26%
2089,83,Values_BRA,-1.66%
170,84,Values_ARG,-4.50%
554,84,Values_FR,-1.10%
938,84,Values_DE,-1.10%
1322,84,Values_ES,-0.61%
1706,84,Values_IT,0.12%
2090,84,Values_BRA,2.81%
171,85,Values_ARG,2.81%
555,85,Values_FR,0.35%
939,85,Values_DE,0.35%
1323,85,Values_ES,0.35%
1707,85,Values_IT,0.35%
2091,85,Values_BRA,0.35%
172,86,Values_ARG,0.35%
556,86,Values_FR,-2.11%
940,86,Values_DE,-2.11%
1324,86,Values_ES,-2.11%
1708,86,Values_IT,-2.11%
2092,86,Values_BRA,-2.11%
173,87,Values_ARG,-4.73%
557,87,Values_FR,-1.92%
941,87,Values_DE,0.15%
1325,87,Values_ES,-0.64%
1709,87,Values_IT,-0.08%
2093,87,Values_BRA,-4.10%
174,88,Values_ARG,-2.12%
558,88,Values_FR,-0.20%
942,88,Values_DE,-1.34%
1326,88,Values_ES,2.58%
1710,88,Values_IT,-0.12%
2094,88,Values_BRA,-0.46%
175,89,Values_ARG,-4.82%
559,89,Values_FR,-4.82%
943,89,Values_DE,-1.00%
1327,89,Values_ES,0.46%
1711,89,Values_IT,0.80%
2095,89,Values_BRA,1.15%
177,90,Values_ARG,6.46%
561,90,Values_FR,6.46%
945,90,Values_DE,0.11%
1329,90,Values_ES,0.37%
1713,90,Values_IT,0.65%
2097,90,Values_BRA,-0.69%
178,91,Values_ARG,-0.74%
562,91,Values_FR,-0.02%
946,91,Values_DE,-2.40%
1330,91,Values_ES,-0.18%
1714,91,Values_IT,-0.01%
2098,91,Values_BRA,-5.42%
179,92,Values_ARG,-5.42%
563,92,Values_FR,1.53%
947,92,Values_DE,1.53%
1331,92,Values_ES,1.53%
1715,92,Values_IT,1.53%
2099,92,Values_BRA,1.53%
180,93,Values_ARG,1.53%
564,93,Values_FR,-0.54%
948,93,Values_DE,-0.54%
1332,93,Values_ES,-0.54%
1716,93,Values_IT,-0.54%
2100,93,Values_BRA,-0.54%
181,94,Values_ARG,-0.31%
565,94,Values_FR,-0.55%
949,94,Values_DE,0.27%
1333,94,Values_ES,-0.19%
1717,94,Values_IT,0.33%
2101,94,Values_BRA,-1.56%
182,95,Values_ARG,3.50%
566,95,Values_FR,-0.63%
950,95,Values_DE,0.15%
1334,95,Values_ES,-0.49%
1718,95,Values_IT,0.62%
2102,95,Values_BRA,4.75%
183,96,Values_ARG,-1.69%
567,96,Values_FR,-1.69%
951,96,Values_DE,-2.87%
1335,96,Values_ES,2.05%
1719,96,Values_IT,0.42%
2103,96,Values_BRA,-2.25%
184,97,Values_ARG,-2.51%
568,97,Values_FR,-2.51%
952,97,Values_DE,0.13%
1336,97,Values_ES,-0.15%
1720,97,Values_IT,0.29%
2104,97,Values_BRA,3.55%
185,98,Values_ARG,3.55%
569,98,Values_FR,-0.62%
953,98,Values_DE,3.12%
1337,98,Values_ES,0.17%
1721,98,Values_IT,-0.06%
2105,98,Values_BRA,1.60%
186,99,Values_ARG,1.60%
570,99,Values_FR,-1.69%
954,99,Values_DE,-1.69%
1338,99,Values_ES,-1.69%
1722,99,Values_IT,-1.69%
2106,99,Values_BRA,-1.69%
3,100,Values_ARG,-1.69%
387,100,Values_FR,-0.29%
771,100,Values_DE,-0.29%
1155,100,Values_ES,-0.29%
1539,100,Values_IT,-0.29%
1923,100,Values_BRA,-0.29%
4,101,Values_ARG,6.60%
388,101,Values_FR,1.60%
772,101,Values_DE,-1.50%
1156,101,Values_ES,0.27%
1540,101,Values_IT,0.18%
1924,101,Values_BRA,-5.04%
5,102,Values_ARG,3.70%
389,102,Values_FR,-1.29%
773,102,Values_DE,1.94%
1157,102,Values_ES,-0.02%
1541,102,Values_IT,-1.29%
1925,102,Values_BRA,0.61%
6,103,Values_ARG,2.77%
390,103,Values_FR,2.77%
774,103,Values_DE,0.60%
1158,103,Values_ES,0.01%
1542,103,Values_IT,0.87%
1926,103,Values_BRA,-2.16%
7,104,Values_ARG,1.02%
391,104,Values_FR,1.02%
775,104,Values_DE,1.20%
1159,104,Values_ES,-0.04%
1543,104,Values_IT,-0.10%
1927,104,Values_BRA,2.26%
8,105,Values_ARG,-2.35%
392,105,Values_FR,0.44%
776,105,Values_DE,-0.66%
1160,105,Values_ES,0.30%
1544,105,Values_IT,0.08%
1928,105,Values_BRA,-0.85%
9,106,Values_ARG,-0.85%
393,106,Values_FR,-0.22%
777,106,Values_DE,-0.22%
1161,106,Values_ES,-0.22%
1545,106,Values_IT,-0.22%
1929,106,Values_BRA,-0.22%
10,107,Values_ARG,-0.22%
394,107,Values_FR,2.31%
778,107,Values_DE,2.31%
1162,107,Values_ES,2.31%
1546,107,Values_IT,2.31%
1930,107,Values_BRA,2.31%
11,108,Values_ARG,3.65%
395,108,Values_FR,-0.15%
779,108,Values_DE,-0.95%
1163,108,Values_ES,-0.50%
1547,108,Values_IT,-0.22%
1931,108,Values_BRA,-4.67%
12,109,Values_ARG,-1.26%
396,109,Values_FR,0.32%
780,109,Values_DE,1.86%
1164,109,Values_ES,-0.67%
1548,109,Values_IT,-0.21%
1932,109,Values_BRA,1.46%
14,110,Values_ARG,0.54%
398,110,Values_FR,0.54%
782,110,Values_DE,0.16%
1166,110,Values_ES,-0.90%
1550,110,Values_IT,0.28%
1934,110,Values_BRA,0.00%
15,111,Values_ARG,0.00%
399,111,Values_FR,0.00%
783,111,Values_DE,0.35%
1167,111,Values_ES,0.50%
1551,111,Values_IT,-0.27%
1935,111,Values_BRA,8.32%
16,112,Values_ARG,8.32%
400,112,Values_FR,-0.01%
784,112,Values_DE,2.33%
1168,112,Values_ES,0.55%
1552,112,Values_IT,0.08%
1936,112,Values_BRA,1.22%
17,113,Values_ARG,1.22%
401,113,Values_FR,-0.51%
785,113,Values_DE,-0.51%
1169,113,Values_ES,-0.51%
1553,113,Values_IT,-0.51%
1937,113,Values_BRA,-0.51%
18,114,Values_ARG,-0.51%
402,114,Values_FR,1.24%
786,114,Values_DE,1.24%
1170,114,Values_ES,1.24%
1554,114,Values_IT,1.24%
1938,114,Values_BRA,1.24%
19,115,Values_ARG,1.54%
403,115,Values_FR,-0.13%
787,115,Values_DE,-0.81%
1171,115,Values_ES,-1.51%
1555,115,Values_IT,0.12%
1939,115,Values_BRA,0.76%
20,116,Values_ARG,1.25%
404,116,Values_FR,-0.48%
788,116,Values_DE,-0.92%
1172,116,Values_ES,1.06%
1556,116,Values_IT,0.45%
1940,116,Values_BRA,1.93%
21,117,Values_ARG,2.65%
405,117,Values_FR,2.65%
789,117,Values_DE,1.63%
1173,117,Values_ES,-1.79%
1557,117,Values_IT,0.49%
1941,117,Values_BRA,4.79%
22,118,Values_ARG,1.30%
406,118,Values_FR,1.30%
790,118,Values_DE,0.66%
1174,118,Values_ES,0.32%
1558,118,Values_IT,-0.43%
1942,118,Values_BRA,-0.14%
23,119,Values_ARG,1.99%
407,119,Values_FR,-0.93%
791,119,Values_DE,-0.91%
1175,119,Values_ES,-1.65%
1559,119,Values_IT,0.58%
1943,119,Values_BRA,2.71%
25,120,Values_ARG,2.71%
409,120,Values_FR,0.85%
793,120,Values_DE,0.85%
1177,120,Values_ES,0.85%
1561,120,Values_IT,0.85%
1945,120,Values_BRA,0.85%
26,121,Values_ARG,0.85%
410,121,Values_FR,-0.65%
794,121,Values_DE,-0.65%
1178,121,Values_ES,-0.65%
1562,121,Values_IT,-0.65%
1946,121,Values_BRA,-0.65%
27,122,Values_ARG,2.02%
411,122,Values_FR,-0.70%
795,122,Values_DE,0.65%
1179,122,Values_ES,-1.31%
1563,122,Values_IT,1.00%
1947,122,Values_BRA,-5.04%
28,123,Values_ARG,1.07%
412,123,Values_FR,-0.17%
796,123,Values_DE,0.18%
1180,123,Values_ES,1.15%
1564,123,Values_IT,0.30%
1948,123,Values_BRA,-0.44%
29,124,Values_ARG,-3.13%
413,124,Values_FR,-3.13%
797,124,Values_DE,-1.69%
1181,124,Values_ES,-1.68%
1565,124,Values_IT,0.19%
1949,124,Values_BRA,5.89%
30,125,Values_ARG,2.33%
414,125,Values_FR,2.33%
798,125,Values_DE,0.41%
1182,125,Values_ES,-0.84%
1566,125,Values_IT,-0.27%
1950,125,Values_BRA,0.35%
31,126,Values_ARG,3.22%
415,126,Values_FR,-0.79%
799,126,Values_DE,0.05%
1183,126,Values_ES,0.76%
1567,126,Values_IT,0.45%
1951,126,Values_BRA,-0.14%
32,127,Values_ARG,-0.14%
416,127,Values_FR,-1.21%
800,127,Values_DE,-1.21%
1184,127,Values_ES,-1.21%
1568,127,Values_IT,-1.21%
1952,127,Values_BRA,-1.21%
33,128,Values_ARG,-1.21%
417,128,Values_FR,1.03%
801,128,Values_DE,1.03%
1185,128,Values_ES,1.03%
1569,128,Values_IT,1.03%
1953,128,Values_BRA,1.03%
34,129,Values_ARG,2.93%
418,129,Values_FR,-0.75%
802,129,Values_DE,0.58%
1186,129,Values_ES,1.20%
1570,129,Values_IT,0.27%
1954,129,Values_BRA,-2.02%
36,130,Values_ARG,1.21%
420,130,Values_FR,0.18%
804,130,Values_DE,1.61%
1188,130,Values_ES,-2.46%
1572,130,Values_IT,-0.21%
1956,130,Values_BRA,-0.96%
37,131,Values_ARG,0.57%
421,131,Values_FR,0.57%
805,131,Values_DE,0.17%
1189,131,Values_ES,0.93%
1573,131,Values_IT,0.77%
1957,131,Values_BRA,-2.25%
38,132,Values_ARG,-2.62%
422,132,Values_FR,-2.62%
806,132,Values_DE,0.12%
1190,132,Values_ES,1.33%
1574,132,Values_IT,0.01%
1958,132,Values_BRA,1.48%
39,133,Values_ARG,0.39%
423,133,Values_FR,0.97%
807,133,Values_DE,2.62%
1191,133,Values_ES,-0.52%
1575,133,Values_IT,-0.41%
1959,133,Values_BRA,0.75%
40,134,Values_ARG,0.75%
424,134,Values_FR,-0.24%
808,134,Values_DE,-0.24%
1192,134,Values_ES,-0.24%
1576,134,Values_IT,-0.24%
1960,134,Values_BRA,-0.24%
41,135,Values_ARG,-0.24%
425,135,Values_FR,0.00%
809,135,Values_DE,0.00%
1193,135,Values_ES,0.00%
1577,135,Values_IT,0.00%
1961,135,Values_BRA,0.00%
42,136,Values_ARG,0.00%
426,136,Values_FR,0.46%
810,136,Values_DE,0.54%
1194,136,Values_ES,-2.68%
1578,136,Values_IT,0.18%
1962,136,Values_BRA,0.07%
43,137,Values_ARG,-0.78%
427,137,Values_FR,-0.05%
811,137,Values_DE,0.77%
1195,137,Values_ES,-3.05%
1579,137,Values_IT,0.11%
1963,137,Values_BRA,-1.76%
44,138,Values_ARG,-2.58%
428,138,Values_FR,-2.58%
812,138,Values_DE,0.55%
1196,138,Values_ES,0.52%
1580,138,Values_IT,0.24%
1964,138,Values_BRA,-0.13%
45,139,Values_ARG,-2.17%
429,139,Values_FR,-2.17%
813,139,Values_DE,0.60%
1197,139,Values_ES,-0.21%
1581,139,Values_IT,0.00%
1965,139,Values_BRA,0.00%
47,140,Values_ARG,5.46%
431,140,Values_FR,1.00%
815,140,Values_DE,0.06%
1199,140,Values_ES,-1.80%
1583,140,Values_IT,-0.61%
1967,140,Values_BRA,-0.61%
48,141,Values_ARG,-0.61%
432,141,Values_FR,-0.82%
816,141,Values_DE,-0.82%
1200,141,Values_ES,-0.82%
1584,141,Values_IT,-0.82%
1968,141,Values_BRA,-0.82%
49,142,Values_ARG,-0.82%
433,142,Values_FR,-1.36%
817,142,Values_DE,-1.36%
1201,142,Values_ES,-1.36%
1585,142,Values_IT,-1.36%
1969,142,Values_BRA,-1.36%
50,143,Values_ARG,2.44%
434,143,Values_FR,-3.32%
818,143,Values_DE,-0.17%
1202,143,Values_ES,-2.33%
1586,143,Values_IT,-1.46%
1970,143,Values_BRA,2.28%
51,144,Values_ARG,1.11%
435,144,Values_FR,0.68%
819,144,Values_DE,-0.30%
1203,144,Values_ES,-0.62%
1587,144,Values_IT,0.19%
1971,144,Values_BRA,0.52%
52,145,Values_ARG,0.89%
436,145,Values_FR,0.89%
820,145,Values_DE,0.38%
1204,145,Values_ES,4.44%
1588,145,Values_IT,1.09%
1972,145,Values_BRA,0.26%
53,146,Values_ARG,0.90%
437,146,Values_FR,0.90%
821,146,Values_DE,-1.21%
1205,146,Values_ES,2.78%
1589,146,Values_IT,-0.66%
1973,146,Values_BRA,2.03%
54,147,Values_ARG,2.63%
438,147,Values_FR,-1.47%
822,147,Values_DE,2.39%
1206,147,Values_ES,0.68%
1590,147,Values_IT,-0.80%
1974,147,Values_BRA,1.30%
55,148,Values_ARG,1.30%
439,148,Values_FR,1.35%
823,148,Values_DE,1.35%
1207,148,Values_ES,1.35%
1591,148,Values_IT,1.35%
1975,148,Values_BRA,1.35%
56,149,Values_ARG,1.35%
440,149,Values_FR,2.15%
824,149,Values_DE,2.15%
1208,149,Values_ES,2.15%
1592,149,Values_IT,2.15%
1976,149,Values_BRA,2.15%
58,150,Values_ARG,-0.29%
442,150,Values_FR,-0.26%
826,150,Values_DE,-0.72%
1210,150,Values_ES,-1.25%
1594,150,Values_IT,0.52%
1978,150,Values_BRA,-2.07%
59,151,Values_ARG,-0.56%
443,151,Values_FR,-0.88%
827,151,Values_DE,-2.21%
1211,151,Values_ES,0.35%
1595,151,Values_IT,0.63%
1979,151,Values_BRA,-1.25%
60,152,Values_ARG,2.82%
444,152,Values_FR,2.82%
828,152,Values_DE,0.06%
1212,152,Values_ES,1.55%
1596,152,Values_IT,0.18%
1980,152,Values_BRA,1.03%
61,153,Values_ARG,1.04%
445,153,Values_FR,1.04%
829,153,Values_DE,0.64%
1213,153,Values_ES,1.06%
1597,153,Values_IT,0.48%
1981,153,Values_BRA,0.04%
62,154,Values_ARG,2.25%
446,154,Values_FR,-1.11%
830,154,Values_DE,-2.72%
1214,154,Values_ES,-0.62%
1598,154,Values_IT,-0.04%
1982,154,Values_BRA,2.56%
63,155,Values_ARG,2.56%
447,155,Values_FR,-0.95%
831,155,Values_DE,-0.95%
1215,155,Values_ES,-0.95%
1599,155,Values_IT,-0.95%
1983,155,Values_BRA,-0.95%
64,156,Values_ARG,-0.95%
448,156,Values_FR,0.49%
832,156,Values_DE,0.49%
1216,156,Values_ES,0.49%
1600,156,Values_IT,0.49%
1984,156,Values_BRA,0.49%
65,157,Values_ARG,0.09%
449,157,Values_FR,-1.78%
833,157,Values_DE,-2.72%
1217,157,Values_ES,0.29%
1601,157,Values_IT,0.58%
1985,157,Values_BRA,1.95%
66,158,Values_ARG,0.53%
450,158,Values_FR,0.04%
834,158,Values_DE,2.46%
1218,158,Values_ES,0.11%
1602,158,Values_IT,-0.07%
1986,158,Values_BRA,-0.31%
67,159,Values_ARG,0.26%
451,159,Values_FR,0.26%
835,159,Values_DE,-0.20%
1219,159,Values_ES,-1.50%
1603,159,Values_IT,0.58%
1987,159,Values_BRA,-0.50%
69,160,Values_ARG,-0.50%
453,160,Values_FR,-0.50%
837,160,Values_DE,2.79%
1221,160,Values_ES,0.00%
1605,160,Values_IT,0.00%
1989,160,Values_BRA,-3.11%
70,161,Values_ARG,-3.11%
454,161,Values_FR,-1.45%
838,161,Values_DE,-0.25%
1222,161,Values_ES,-1.12%
1606,161,Values_IT,0.77%
1990,161,Values_BRA,2.41%
71,164,Values_ARG,1.38%
455,164,Values_FR,-0.60%
839,164,Values_DE,0.81%
1223,164,Values_ES,0.99%
1607,164,Values_IT,-0.17%
1991,164,Values_BRA,-2.38%
72,165,Values_ARG,-0.86%
456,165,Values_FR,1.74%
840,165,Values_DE,0.57%
1224,165,Values_ES,2.07%
1608,165,Values_IT,-0.30%
1992,165,Values_BRA,0.10%
73,166,Values_ARG,-0.38%
457,166,Values_FR,-0.38%
841,166,Values_DE,-0.38%
1225,166,Values_ES,-0.20%
1609,166,Values_IT,0.22%
1993,166,Values_BRA,3.20%
74,167,Values_ARG,3.30%
458,167,Values_FR,3.30%
842,167,Values_DE,3.30%
1226,167,Values_ES,-0.75%
1610,167,Values_IT,-0.10%
1994,167,Values_BRA,-0.35%
75,168,Values_ARG,-0.12%
459,168,Values_FR,1.11%
843,168,Values_DE,1.11%
1227,168,Values_ES,1.11%
1611,168,Values_IT,-1.04%
1995,168,Values_BRA,-1.04%
77,171,Values_ARG,2.24%
461,171,Values_FR,2.24%
845,171,Values_DE,0.05%
1229,171,Values_ES,-2.06%
1613,171,Values_IT,0.00%
1997,171,Values_BRA,1.55%
78,172,Values_ARG,5.52%
462,172,Values_FR,5.52%
846,172,Values_DE,-1.22%
1230,172,Values_ES,0.05%
1614,172,Values_IT,0.00%
1998,172,Values_BRA,-0.07%
79,173,Values_ARG,-0.09%
463,173,Values_FR,-0.09%
847,173,Values_DE,-0.09%
1231,173,Values_ES,0.79%
1615,173,Values_IT,1.24%
1999,173,Values_BRA,0.00%
80,174,Values_ARG,0.13%
464,174,Values_FR,0.13%
848,174,Values_DE,0.13%
1232,174,Values_ES,-1.23%
1616,174,Values_IT,0.13%
2000,174,Values_BRA,0.00%
,,,
